1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admin Level 1,Admin Level 2,Admin Level 3,Admin Level 4,Admin Level 5,Rule Code,Rule Name,Severity,LE Status,Priority,DBE Val Comment,DBE Comment,Responsibility,LE Review,User Id,User Location,Assigned To,LE Reason,LE Details,Timestamp,Remark,Message,WAV Status,Project Name,LE Check,Validation Type,Clean For Extracts,CCLV Runlist,LE Enabled,Validation Id,Link Id
Thailand,Bangkok,Bang Khun Thian,Samae Dam,,RDS001,Invalid Adjacent RDS-TMC Codes,2,Active,HIGH,-,Check and fix,TRAFFIC TEAM,YES,sacrane,Mumbai,sacrane,,,05/17/21 13:59 PM,,RDS19+46317 has Directional Indicator inconsistent with RDS19-46316,F,"Thailand - FC12345 - WO096297...FQ2-21
Extensive Inclusion
O...Core Team - SE Asia",NO,W  ,NO,NO,YES,2457639781,2454823391
Thailand,Bangkok,Bang Khun Thian,Samae Dam,,RDS001,Invalid Adjacent RDS-TMC Codes,2,Active,HIGH,-,Check and fix,TRAFFIC TEAM,YES,sacrane,Mumbai,sacrane,,,05/17/21 13:59 PM,,RDS19-46316 has Directional Indicator inconsistent with RDS19+46317,F,"Thailand - FC12345 - WO096297...FQ2-21
Extensive Inclusion
O...Core Team - SE Asia",NO,W  ,NO,NO,YES,2457639776,2454823384
Indonesia,Daerah Istimewa Yogyakarta,Sleman,Pakem,,RDS080,Missing Internal RDS-TMC Code at Start or End of RDS-TMC Path,2,Active,HIGH,ICE,-,TRAFFIC,-,sacrane,Mumbai,sacrane,,,05/17/21 12:06 PM,,The positive internal RDS-TMC code and negative internal RDS-TMC code for table 23 and point location 36867 is missing,F,UNKNOWN,NO,W  ,NO,NO,YES,2456772658,4007700485
Malaysia,Selangor,Petaling,Subang Jaya,Taman Subang Mas,RDS024,Traffic Chain with No RDS-TMC Name,2,Active,HIGH,-,-,GENERAL,-,sacrane,Mumbai,sacrane,,,05/17/21 10:55 AM,,,F,"Malaysia - FC12345 - WO096296...FQ2-21
Extensive Inclusion
O...Core Team - SE Asia",NO,W  ,NO,NO,NO,2457216702,6378668479
Thailand,Prachin Buri,Mueang Prachin Buri,Dong Phra Ram,,RDS001,Invalid Adjacent RDS-TMC Codes,2,Active,HIGH,-,Check and fix,TRAFFIC TEAM,YES,rlopezpi,Leon,rlopezpi,,,05/17/21 09:52 AM,,RDS19+50597 has Directional Indicator inconsistent with RDS19-50596,F,"Thailand - FC12345 - WO096059...FQ2-21
HPU/FUPs...SOUTHEAST ASIA TH and VN LMO",NO,W  ,NO,NO,YES,2455609413,2455334126
Thailand,Prachin Buri,Mueang Prachin Buri,Ban Phra,,RDS001,Invalid Adjacent RDS-TMC Codes,2,Active,HIGH,-,Check and fix,TRAFFIC TEAM,YES,rlopezpi,Leon,rlopezpi,,,05/17/21 09:52 AM,,RDS19+50597 has Directional Indicator inconsistent with RDS19-50596,F,"Thailand - FC12345 - WO096059...FQ2-21
HPU/FUPs...SOUTHEAST ASIA TH and VN LMO",NO,W  ,NO,NO,YES,2455609422,8942786065
Thailand,Lampang,Mueang Lampang,Chomphu,,RDS018,Invalid RDS-TMC Direction of Travel,2,Active,CRITICAL,-,-,TRAFFIC TEAM,YES,rlopezpi,Leon,rlopezpi,,,05/17/21 09:51 AM,,RDS19-49545 has direction of travel inconsistent with RDS19-49546,F,"Thailand - FC12345 - WO096059...FQ2-21
HPU/FUPs...SOUTHEAST ASIA TH and VN LMO",NO,W  ,NO,NO,YES,2456811930,2339260620
Thailand,Lampang,Mueang Lampang,Chomphu,,RDS046,Non-Reference Node Not Connected to RDS-TMC,2,Active,CRITICAL,-,Check and fix,TRAFFIC TEAM,YES,rlopezpi,Leon,rlopezpi,,,05/17/21 09:51 AM,,RDS-TMC Feature: RDS19-49545,F,"Thailand - FC12345 - WO096059...FQ2-21
HPU/FUPs...SOUTHEAST ASIA TH and VN LMO",NO,W  ,NO,NO,YES,2455964055,4051741940
Thailand,Bangkok,Thon Buri,Wat Kanlaya,,RDS045,Reference Node Not Connected to RDS-TMC,2,Active,CRITICAL,-,Check and fix,TRAFFIC TEAM,YES,rlopezpi,Leon,rlopezpi,,,05/17/21 09:49 AM,,RDS-TMC Feature: RDS19-46271T,F,"Thailand - FC12345 - WO096297...FQ2-21
Extensive Inclusion
O...Core Team - SE Asia",NO,W  ,NO,NO,YES,2457639681,1261719037
Thailand,Bangkok,Thon Buri,Wat Kanlaya,,RDS046,Non-Reference Node Not Connected to RDS-TMC,2,Active,CRITICAL,-,Check and fix,TRAFFIC TEAM,YES,rlopezpi,Leon,rlopezpi,,,05/17/21 09:49 AM,,RDS-TMC Feature: RDS19+46271F,F,UNKNOWN,NO,W  ,NO,NO,YES,2457639712,9716214443
