RMOB,MEA_MAP_21114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,Active Exceptions of 23 Rules in MEA_MAP_21114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeStamp,5/17/2021 13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filter Applied,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admin Level 1,Admin Level 2,Admin Level 3,Admin Level 4,Admin Level 5,Rule Code,Rule Name,Severity,LE Status,Priority,DBE Val Comment,DBE Comment,Responsibility,LE Review,User Id,User Location,Assigned To,LE Reason,LE Details,Timestamp,Remark,Message,WAV Status,Project Name,LE Check,Validation Type,Clean For Extracts,CCLV Runlist,LE Enabled,Validation Id,Link Id
Sanyukt Arab Ameerat,Hujaira,Hujaira,Fu Cha Yi La,,RDS045,Reference Node Not Connected to RDS-TMC,2,Active,HIGH,-,-,TRAFFIC GPO,NO,bhakre,Mumbai,bhakre,,,05/17/21 13:47 PM,,RDS-TMC Feature: RDS17+03438,F,Middle East & Africa - FC12345-Core Map - Core Map - WO096242...Core Team - MEA,NO,W  ,NO,NO,YES,2456288826,2455839985
Sanyukt Arab Ameerat,Hujaira,Hujaira,,,RDS046,Non-Reference Node Not Connected to RDS-TMC,2,Active,HIGH,-,-,TRAFFIC GPO,NO,bhakre,Mumbai,bhakre,,,05/17/21 13:46 PM,,RDS-TMC Feature: RDS17-03415,F,Middle East & Africa - FC12345-Core Map - Core Map - WO096242...Core Team - MEA,NO,W  ,NO,NO,YES,2456288809,572284083
Sanyukt Arab Ameerat,Hujaira,Hujaira,Fu Cha Yi La,,RDS080,Missing Internal RDS-TMC Code at Start or End of RDS-TMC Path,2,Active,HIGH,ICE,-,TRAFFIC GPO,NO,bhakre,Mumbai,bhakre,,,05/17/21 13:46 PM,,The positive internal RDS-TMC code and negative internal RDS-TMC code for table 17 and point location 3437 is missing,F,UNKNOWN,NO,W  ,NO,NO,YES,2456530668,795118112
Sanyukt Arab Ameerat,Hujaira,Hujaira,,,RDS080,Missing Internal RDS-TMC Code at Start or End of RDS-TMC Path,2,Active,HIGH,ICE,-,TRAFFIC GPO,NO,bhakre,Mumbai,bhakre,,,05/17/21 13:44 PM,,The positive internal RDS-TMC code and negative internal RDS-TMC code for table 17 and point location 3416 is missing,F,UNKNOWN,NO,W  ,NO,NO,YES,2456530673,794188735
Liban,Li Ba Nen Shan Sheng,A Lie Yi,,,RDS038,Previous RDS-TMC Codes Do Not Match Traffic Table,2,Active,HIGH,-,-,TRAFFIC GPO,NO,sacrane,Mumbai,sacrane,,,05/17/21 13:34 PM,,RDS54-07580F missing offset RDS-TMC code,F,UNKNOWN,NO,W  ,NO,NO,YES,2454803244,1581832158
Liban,Li Ba Nen Shan Sheng,A Lie Yi,,,RDS038,Previous RDS-TMC Codes Do Not Match Traffic Table,2,Active,HIGH,-,-,TRAFFIC GPO,NO,sacrane,Mumbai,sacrane,,,05/17/21 13:34 PM,,RDS54+07581T missing offset RDS-TMC code,F,UNKNOWN,NO,W  ,NO,NO,YES,2454803243,1581832158
Liban,Li Ba Nen Shan Sheng,A Lie Yi,,,RDS038,Previous RDS-TMC Codes Do Not Match Traffic Table,2,Active,HIGH,-,-,TRAFFIC GPO,NO,sacrane,Mumbai,sacrane,,,05/17/21 13:34 PM,,RDS54-07580T missing offset RDS-TMC code,F,UNKNOWN,NO,W  ,NO,NO,YES,2454803246,4679810182
Liban,Li Ba Nen Shan Sheng,A Lie Yi,,,RDS038,Previous RDS-TMC Codes Do Not Match Traffic Table,2,Active,HIGH,-,-,TRAFFIC GPO,NO,sacrane,Mumbai,sacrane,,,05/17/21 13:34 PM,,RDS54+07581F missing offset RDS-TMC code,F,UNKNOWN,NO,W  ,NO,NO,YES,2454803245,4678638357
Liban,Li Ba Nen Shan Sheng,A Lie Yi,,,RDS045,Reference Node Not Connected to RDS-TMC,2,Active,HIGH,-,-,TRAFFIC GPO,NO,sacrane,Mumbai,sacrane,,,05/17/21 13:34 PM,,RDS-TMC Feature: RDS54-07580T,F,UNKNOWN,NO,W  ,NO,NO,YES,2456609551,1581842287
Liban,Li Ba Nen Shan Sheng,A Lie Yi,,,RDS045,Reference Node Not Connected to RDS-TMC,2,Active,HIGH,-,-,TRAFFIC GPO,NO,sacrane,Mumbai,sacrane,,,05/17/21 13:34 PM,,RDS-TMC Feature: RDS54+07580T,F,Lebanon - FC12345 - WO092383...Nav Coverage & Nav Guidance - MEA,NO,W  ,NO,NO,YES,2456609552,3610528798
Liban,Li Ba Nen Shan Sheng,A Lie Yi,,,RDS037,Next RDS-TMC Code Does Not Match Traffic Table,2,Active,HIGH,-,-,TRAFFIC GPO,NO,sacrane,Mumbai,sacrane,,,05/17/21 13:33 PM,,RDS54-07579T missing offset RDS-TMC code,F,UNKNOWN,NO,W  ,NO,NO,YES,2454803249,4679810230
Liban,Li Ba Nen Shan Sheng,A Lie Yi,,,RDS037,Next RDS-TMC Code Does Not Match Traffic Table,2,Active,HIGH,-,-,TRAFFIC GPO,NO,sacrane,Mumbai,sacrane,,,05/17/21 13:33 PM,,RDS54-07579F missing offset RDS-TMC code,F,UNKNOWN,NO,W  ,NO,NO,YES,2454803251,3610528798
Liban,Li Ba Nen Shan Sheng,A Lie Yi,,,RDS037,Next RDS-TMC Code Does Not Match Traffic Table,2,Active,HIGH,-,-,TRAFFIC GPO,NO,sacrane,Mumbai,sacrane,,,05/17/21 13:33 PM,,RDS54+07580T missing offset RDS-TMC code,F,UNKNOWN,NO,W  ,NO,NO,YES,2454803248,3610528798
Liban,Li Ba Nen Shan Sheng,A Lie Yi,,,RDS037,Next RDS-TMC Code Does Not Match Traffic Table,2,Active,HIGH,-,-,TRAFFIC GPO,NO,sacrane,Mumbai,sacrane,,,05/17/21 13:33 PM,,RDS54+07580F missing offset RDS-TMC code,F,UNKNOWN,NO,W  ,NO,NO,YES,2454803250,3610528799
Sanyukt Arab Ameerat,Abu Dabi,Abu Dabi,,,RDS045,Reference Node Not Connected to RDS-TMC,2,Active,HIGH,-,-,TRAFFIC GPO,NO,bhakre,Mumbai,bhakre,,,05/17/21 13:32 PM,,"RDS-TMC Feature: RDS19+01729F, RDS17-04462F",F,Middle East & Africa - FC12345-Core Map - Core Map - WO096242...Core Team - MEA,NO,W  ,NO,NO,YES,2456781741,9294292555
Sanyukt Arab Ameerat,Abu Dabi,Abu Dabi,,,RDS045,Reference Node Not Connected to RDS-TMC,2,Active,HIGH,-,-,TRAFFIC GPO,NO,bhakre,Mumbai,bhakre,,,05/17/21 13:32 PM,,"RDS-TMC Feature: RDS19+01729, RDS17-04462",F,Middle East & Africa - FC12345-Core Map - Core Map - WO096242...Core Team - MEA,NO,W  ,NO,NO,YES,2456610325,9301187916
Saudo Arabija,Dong Bu Sheng,Ka Ta Fu,,,RDS049,Invalid RDS-TMC Direction of Road Indicator for NA Traffic,2,Active,HIGH,-,Ignore Noise in Oman and Saudi MAP-14714,TRAFFIC GPO,NO,rlopezpi,Leon,rlopezpi,,,5/17/2021 12:39,,RDS28-08778F,F,UNKNOWN,NO,W  ,NO,NO,YES,2454927303,9145155078
Saudo Arabija,Dong Bu Sheng,Ka Ta Fu,,,RDS049,Invalid RDS-TMC Direction of Road Indicator for NA Traffic,2,Active,HIGH,-,Ignore Noise in Oman and Saudi MAP-14714,TRAFFIC GPO,NO,rlopezpi,Leon,rlopezpi,,,5/17/2021 12:39,,RDS28+08779T,F,UNKNOWN,NO,W  ,NO,NO,YES,2454927302,9145155078
Saudo Arabija,Mai Jia,Ji Da,,,RDS049,Invalid RDS-TMC Direction of Road Indicator for NA Traffic,2,Active,HIGH,-,Ignore Noise in Oman and Saudi MAP-14714,TRAFFIC GPO,NO,rlopezpi,Leon,rlopezpi,,,5/17/2021 12:39,,RDS28+16555F,F,UNKNOWN,NO,W  ,NO,NO,YES,2454926959,8330071178
